Date,Symbol,Open,High,Low,Close,Adj Close,Volume
01-12-2020,GME,17.110001,17.4,15.76,15.8,15.8,12653900
02-12-2020,GME,15.7,16.68,15.38,16.58,16.58,7883400
03-12-2020,GME,16.48,16.639999,15.87,16.120001,16.120001,6295000
04-12-2020,GME,16.299999,17.290001,16.26,16.9,16.9,8972700
07-12-2020,GME,17,17.5,16.219999,16.35,16.35,7386300
08-12-2020,GME,16.370001,17.209999,15.93,16.940001,16.940001,16120200
09-12-2020,GME,13.92,14.73,13.23,13.66,13.66,24357900
10-12-2020,GME,13.12,14.41,13.05,14.12,14.12,7558900
11-12-2020,GME,13.91,14,13.02,13.31,13.31,7496900
14-12-2020,GME,13.34,13.43,12.14,12.72,12.72,10007100
15-12-2020,GME,12.78,14.02,12.48,13.85,13.85,8189800
16-12-2020,GME,13.96,14.31,13.58,13.85,13.85,5865100
17-12-2020,GME,13.96,14.98,13.59,14.83,14.83,8194900
18-12-2020,GME,15.78,16.299999,15.18,15.63,15.63,16618800
21-12-2020,GME,15.81,16.35,15.28,15.53,15.53,9876100
22-12-2020,GME,16.219999,20.040001,16.15,19.459999,19.459999,30652700
23-12-2020,GME,20.17,22.35,19.129999,20.57,20.57,25830300
24-12-2020,GME,21.01,21.48,19.950001,20.15,20.15,6262200
28-12-2020,GME,21.309999,21.969999,20.35,20.99,20.99,8965900
29-12-2020,GME,20.82,21.07,18.559999,19.379999,19.379999,9241400
30-12-2020,GME,19.379999,20,18.85,19.26,19.26,5934400
31-12-2020,GME,19.25,19.799999,18.799999,18.84,18.84,6922700
04-01-2021,GME,19,19.1,17.15,17.25,17.25,10022500
05-01-2021,GME,17.35,18.08,17.23,17.370001,17.370001,4961500
06-01-2021,GME,17.34,18.98,17.33,18.360001,18.360001,6056200
07-01-2021,GME,18.469999,19.450001,18.02,18.08,18.08,6129300
08-01-2021,GME,18.18,18.299999,17.08,17.690001,17.690001,6482000
11-01-2021,GME,19.41,20.65,19.01,19.940001,19.940001,14908000
12-01-2021,GME,19.959999,20.4,19.32,19.950001,19.950001,7060700
13-01-2021,GME,20.42,38.650002,20.030001,31.4,31.4,144501700
14-01-2021,GME,38.09,43.060001,33.049999,39.91,39.91,93717400
15-01-2021,GME,38.490002,40.75,34.009998,35.5,35.5,46866400
19-01-2021,GME,41.549999,45.52,36.639999,39.360001,39.360001,74721900
20-01-2021,GME,37.369999,41.189999,36.060001,39.119999,39.119999,33471800
21-01-2021,GME,39.23,44.75,37,43.029999,43.029999,56216900
22-01-2021,GME,42.59,76.760002,42.32,65.010002,65.010002,197157900
25-01-2021,GME,96.730003,159.179993,61.130001,76.790001,76.790001,177874000
26-01-2021,GME,88.559998,150,80.199997,147.979996,147.979996,178588000
27-01-2021,GME,354.829987,380,249,347.51001,347.51001,93396700
28-01-2021,GME,265,483,112.25,193.600006,193.600006,58815800
29-01-2021,GME,379.709991,413.980011,250,325,325,50566100
01-02-2021,GME,316.559998,322,212,225,225,37382200
02-02-2021,GME,140.759995,158,74.220001,90,90,78183100
03-02-2021,GME,112.010002,113.400002,85.25,92.410004,92.410004,42698500
04-02-2021,GME,91.190002,91.5,53.330002,53.5,53.5,62427300
05-02-2021,GME,54.040001,95,51.09,63.77,63.77,81345000
08-02-2021,GME,72.410004,72.660004,58.02,60,60,25687300
09-02-2021,GME,56.610001,57,46.52,50.310001,50.310001,26843100
10-02-2021,GME,50.77,62.830002,46.549999,51.200001,51.200001,36455000
11-02-2021,GME,50.009998,55.32,48.220001,51.099998,51.099998,13056700
12-02-2021,GME,50.75,55.240002,48.049999,52.400002,52.400002,14573300
16-02-2021,GME,52.66,53.5,49.040001,49.509998,49.509998,8175000
17-02-2021,GME,49.77,51.189999,44.560001,45.939999,45.939999,9186800
18-02-2021,GME,48.490002,48.869999,40.650002,40.689999,40.689999,23990600
19-02-2021,GME,41.279999,43.889999,38.5,40.59,40.59,14828200
22-02-2021,GME,46.689999,48.509998,42.400002,46,46,19476000
23-02-2021,GME,44.970001,46.23,40,44.970001,44.970001,7565200
24-02-2021,GME,44.700001,91.709999,44.700001,91.709999,91.709999,83111700
25-02-2021,GME,169.559998,184.679993,101,108.730003,108.730003,150308800
