Date,Symbol,Open,High,Low,Close,Adj Close,Volume
01-12-2020,SAND,7.57,7.67,7.29,7.63,7.63,1986400
02-12-2020,SAND,7.63,7.66,7.47,7.6,7.6,956900
03-12-2020,SAND,7.6,7.66,7.46,7.56,7.56,944400
04-12-2020,SAND,7.56,7.6,7.38,7.39,7.39,1389200
07-12-2020,SAND,7.36,7.78,7.34,7.68,7.68,1661000
08-12-2020,SAND,7.75,7.75,7.58,7.61,7.61,1034300
09-12-2020,SAND,7.5,7.52,7.16,7.28,7.28,1669200
10-12-2020,SAND,7.28,7.44,7.18,7.23,7.23,1185700
11-12-2020,SAND,7.22,7.29,7.11,7.18,7.18,1228500
14-12-2020,SAND,7.21,7.27,7.03,7.04,7.04,1466600
15-12-2020,SAND,7.16,7.37,7.16,7.3,7.3,1446900
16-12-2020,SAND,7.37,7.46,7.22,7.37,7.37,1416100
17-12-2020,SAND,7.53,7.72,7.49,7.68,7.68,1893800
18-12-2020,SAND,7.66,7.66,7.29,7.29,7.29,2442500
21-12-2020,SAND,7.41,7.62,7.32,7.49,7.49,1983300
22-12-2020,SAND,7.5,7.5,7.04,7.05,7.05,2295900
23-12-2020,SAND,7.16,7.29,7.09,7.23,7.23,1759700
24-12-2020,SAND,7.18,7.3,7.12,7.26,7.26,559000
28-12-2020,SAND,7.39,7.5,7.14,7.15,7.15,1237700
29-12-2020,SAND,7.14,7.28,7.09,7.12,7.12,1325400
30-12-2020,SAND,7.12,7.31,7.12,7.3,7.3,1454400
31-12-2020,SAND,7.34,7.35,7.14,7.17,7.17,1046200
04-01-2021,SAND,7.47,7.73,7.36,7.66,7.66,2815300
05-01-2021,SAND,7.77,7.81,7.43,7.51,7.51,2188800
06-01-2021,SAND,7.45,7.46,7.23,7.43,7.43,2002100
07-01-2021,SAND,7.4,7.47,7.21,7.36,7.36,1556200
08-01-2021,SAND,7.23,7.26,6.86,6.98,6.98,2962300
11-01-2021,SAND,6.87,7.12,6.76,6.99,6.99,1898600
12-01-2021,SAND,7,7.02,6.82,6.92,6.92,1726800
13-01-2021,SAND,6.97,7.03,6.83,6.84,6.84,1489700
14-01-2021,SAND,6.88,7,6.83,6.86,6.86,1457200
15-01-2021,SAND,6.85,6.88,6.63,6.65,6.65,1358900
19-01-2021,SAND,6.67,6.77,6.57,6.67,6.67,1451400
20-01-2021,SAND,6.8,6.92,6.74,6.87,6.87,1413700
21-01-2021,SAND,6.91,6.92,6.64,6.7,6.7,1557000
22-01-2021,SAND,6.56,6.71,6.44,6.64,6.64,1886700
25-01-2021,SAND,6.66,6.71,6.5,6.57,6.57,1314700
26-01-2021,SAND,6.57,6.77,6.5,6.75,6.75,1768500
27-01-2021,SAND,6.63,6.65,6.35,6.38,6.38,2100800
28-01-2021,SAND,6.52,6.74,6.44,6.58,6.58,2659200
29-01-2021,SAND,6.83,6.87,6.44,6.46,6.46,2573600
01-02-2021,SAND,6.8,6.82,6.53,6.78,6.78,3479000
02-02-2021,SAND,6.64,6.68,6.42,6.42,6.42,1928500
03-02-2021,SAND,6.47,6.55,6.43,6.5,6.5,1241300
04-02-2021,SAND,6.61,6.61,6.26,6.27,6.27,4978900
05-02-2021,SAND,6.3,6.43,6.18,6.4,6.4,3617100
08-02-2021,SAND,6.5,6.68,6.45,6.59,6.59,1981100
09-02-2021,SAND,6.68,6.69,6.52,6.62,6.62,1607500
10-02-2021,SAND,6.71,6.73,6.52,6.63,6.63,1524800
11-02-2021,SAND,6.64,6.67,6.42,6.44,6.44,2027700
12-02-2021,SAND,6.4,6.59,6.22,6.49,6.49,1992900
16-02-2021,SAND,6.45,6.58,6.36,6.56,6.56,2058900
17-02-2021,SAND,6.5,6.54,6.37,6.46,6.46,2240900
18-02-2021,SAND,6.46,6.6,6.37,6.4,6.4,1831000
19-02-2021,SAND,6.44,6.47,6.33,6.33,6.33,2510200
22-02-2021,SAND,6.36,6.81,6.36,6.73,6.73,3757100
23-02-2021,SAND,6.72,6.72,6.43,6.49,6.49,2671500
24-02-2021,SAND,6.45,6.6,6.34,6.57,6.57,1561500
25-02-2021,SAND,6.43,6.6,6.32,6.38,6.38,2450000
26-02-2021,SAND,6.32,6.33,5.97,6.05,6.05,3755000
01-03-2021,SAND,6.18,6.3,6.03,6.04,6.04,2479000
02-03-2021,SAND,6.14,6.45,6.1,6.42,6.42,1771800
03-03-2021,SAND,6.27,6.29,6.06,6.15,6.15,2090300
04-03-2021,SAND,6.1,6.25,5.96,6.1,6.1,2967100
05-03-2021,SAND,6.1,6.36,6.06,6.35,6.35,2193200
08-03-2021,SAND,6.36,6.52,6.33,6.44,6.44,2439700
09-03-2021,SAND,6.7,6.83,6.61,6.68,6.68,2395400
10-03-2021,SAND,6.76,6.79,6.59,6.77,6.77,2104100
11-03-2021,SAND,6.85,6.94,6.78,6.88,6.88,2258900
12-03-2021,SAND,6.75,6.96,6.67,6.94,6.94,1686800
15-03-2021,SAND,7,7.16,6.95,7.07,7.07,2902200
16-03-2021,SAND,7.1,7.12,6.98,7.04,7.04,1478800
17-03-2021,SAND,7,7.25,6.93,7.2,7.2,1876600
18-03-2021,SAND,7.1,7.29,7.03,7.16,7.16,2373300
19-03-2021,SAND,7.2,7.23,7.08,7.17,7.17,2554200
22-03-2021,SAND,7.2,7.33,7.18,7.22,7.22,1818000
23-03-2021,SAND,7.18,7.2,6.86,6.91,6.91,2187300
24-03-2021,SAND,6.93,6.93,6.78,6.8,6.8,1689000
25-03-2021,SAND,6.72,6.8,6.56,6.67,6.67,1688400
26-03-2021,SAND,6.69,6.85,6.68,6.84,6.84,1237900
29-03-2021,SAND,6.85,6.85,6.61,6.79,6.79,1713200
30-03-2021,SAND,6.6,6.67,6.52,6.59,6.59,1840900
31-03-2021,SAND,6.62,6.85,6.62,6.8,6.8,1857200
01-04-2021,SAND,6.91,7.06,6.9,7.04,7.04,1532500
05-04-2021,SAND,7.08,7.18,6.98,7.08,7.08,1656900
06-04-2021,SAND,7.18,7.39,7.16,7.38,7.38,2085500
07-04-2021,SAND,7.32,7.33,7.16,7.19,7.19,1776600
08-04-2021,SAND,7.31,7.58,7.29,7.56,7.56,2146300
09-04-2021,SAND,7.4,7.66,7.37,7.59,7.59,2438700
12-04-2021,SAND,7.55,7.58,7.37,7.48,7.48,1633800
13-04-2021,SAND,7.56,7.66,7.52,7.6,7.6,1433300
14-04-2021,SAND,7.59,7.63,7.32,7.34,7.34,1257900
15-04-2021,SAND,7.41,7.76,7.41,7.72,7.72,2407000
16-04-2021,SAND,7.9,7.9,7.63,7.68,7.68,2035000
19-04-2021,SAND,7.68,7.72,7.54,7.57,7.57,1561600
20-04-2021,SAND,7.51,7.63,7.42,7.61,7.61,1331600
21-04-2021,SAND,7.66,7.88,7.63,7.87,7.87,1527200
22-04-2021,SAND,7.84,7.88,7.71,7.81,7.81,1631900
23-04-2021,SAND,7.81,7.87,7.63,7.64,7.64,1503400
26-04-2021,SAND,7.63,7.81,7.57,7.8,7.8,1369000
27-04-2021,SAND,7.83,7.87,7.75,7.76,7.76,1430700
28-04-2021,SAND,7.69,7.84,7.6,7.79,7.79,1151100
29-04-2021,SAND,7.71,7.78,7.51,7.58,7.58,1292500
30-04-2021,SAND,7.55,7.61,7.38,7.42,7.42,970600
03-05-2021,SAND,7.56,7.84,7.52,7.8,7.8,2178200
04-05-2021,SAND,7.75,7.96,7.64,7.78,7.78,2240100
05-05-2021,SAND,7.83,7.83,7.64,7.73,7.73,657800
06-05-2021,SAND,7.83,8.25,7.83,8.1,8.1,2152000
07-05-2021,SAND,8.25,8.28,7.97,8.03,8.03,2162200
10-05-2021,SAND,8.12,8.15,7.8,7.81,7.81,2293300
11-05-2021,SAND,7.65,8.05,7.53,8.04,8.04,2416300
12-05-2021,SAND,8.06,8.13,7.98,8.08,8.08,2267300
13-05-2021,SAND,8.01,8.12,7.92,8.05,8.05,1389200
14-05-2021,SAND,8.11,8.34,8.11,8.31,8.31,1402000
17-05-2021,SAND,8.39,8.8,8.34,8.73,8.73,2041400
18-05-2021,SAND,8.74,8.76,8.52,8.54,8.54,1466400
19-05-2021,SAND,8.48,8.59,8.26,8.34,8.34,1761500
20-05-2021,SAND,8.22,8.42,8.2,8.37,8.37,1141700
21-05-2021,SAND,8.45,8.45,8.21,8.4,8.4,1743600
